,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
1,-0.3065,-1.6568,10.4196,1.0071,-0.3346,9.7491,-1.6871,-1.0731,1.7718,0.0043,-0.1008,-0.0678,11,43.26,37.02,69.78,316.6,0.78,-5.62,35.78219,51.44395,4760.05,4853.592126,4.97,38.709675,122.83,13 / 14,1300007,2016-06-22 15:00:23:479
2,-0.3926,-1.3312,9.7683,1.0931,-0.2915,9.7412,-1.4857,-1.0396,0.0272,0.0308,-0.0748,-0.0779,11,42.18,37.92,69.48,319.22,1.88,-5.8,35.78217,51.443974,4760.82,4853.592126,8.22,25.806452,130.27,13 / 14,1300507,2016-06-22 15:00:23:979
3,0.1724,-0.1245,10.4004,0.9697,0.1098,9.758,-0.9122,0.053,0.4796,0.0837,-0.0864,-0.1017,11,40.14,39.12,70.26,319.26,-0.64,-5.68,35.78217,51.443974,4760.82,4853.592126,8.22,25.806452,130.27,13 / 14,1301007,2016-06-22 15:00:24:479
4,-0.4022,0.316,9.912,0.7034,0.3074,9.7766,-1.1056,0.0086,0.1354,0.0428,-0.098,-0.1155,11,38.52,38.64,69.3,317.33,-1.79,-4.18,35.782143,51.443996000000006,4761.65,4854.06591,9.56,25.806452,138.24,14 / 15,1301508,2016-06-22 15:00:24:980
5,0.0287,0.4118,10.343,0.6829999999999999,0.6903,9.7584,-0.4245,0.2578,0.5653,0.0535,-0.0819,-0.0953,11,37.56,40.32,65.82,317.6,-3.09,-4.17,35.782143,51.443996000000006,4761.65,4854.06591,9.56,25.806452,138.24,14 / 15,1302007,2016-06-22 15:00:25:479
6,0.747,1.8292,10.1706,0.3953,0.9742,9.7501,0.1601,1.0848,0.2002,0.0101,-0.0238,-0.0767,11,35.52,40.26,64.98,315.27,-5.62,-2.63,35.782123999999996,51.444023,4762.28,4854.06591,10.45,25.806452,142.7,14 / 15,1302507,2016-06-22 15:00:25:979
7,0.8236,2.1644,9.9695,0.1956,1.1596,9.7359,0.7333,0.8611,0.5688,0.0162,-0.0345,-0.0162,11,34.62,40.98,65.04,314.97,-6.47,-1.45,35.782123999999996,51.444023,4762.28,4854.06591,10.45,25.806452,142.7,14 / 15,1303008,2016-06-22 15:00:26:480
8,1.2354,1.4844,10.3142,0.0497,1.2205,9.7303,1.3102,0.0341,0.8234,0.0382,-0.0535,0.0186,11,34.2,41.1,65.58,314.89,-6.78,-0.88,35.782104,51.44406,4762.88,4854.06591,10.73,25.806452,142.75,13 / 15,1303507,2016-06-22 15:00:26:979
9,1.0918,0.1245,10.2568,0.3023,0.7536,9.773,0.5501,-0.7057,0.1486,0.0247,-0.0489,0.036000000000000004,11,33.54,40.38,65.88,317.39,-4.41,-1.77,35.782104,51.44406,4762.88,4854.06591,10.73,25.806452,142.75,13 / 15,1304008,2016-06-22 15:00:27:480
10,0.8906,0.0958,10.3238,0.727,0.2639,9.7761,0.1637,-0.1681,0.5477,0.0238,-0.0241,0.0238,11,33.66,40.02,65.1,322.69,-1.54,-4.25,35.782104,51.44406,4762.88,4854.06591,10.73,25.806452,142.75,13 / 15,1304507,2016-06-22 15:00:27:979
