,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
3,0.4501,-1.9632,9.2895,-0.2317,-0.7741,9.7733,0.768,-1.1412,-0.4168,0.0067,0.0186,0.1845,0.0,61.08,-66.36,-13.32,221.88,3.86,0.66,35.781994,51.444813,4807.67,4848.042894,6.28,25.806452,346.07,12-Nov,15720506.0,2016-06-28 13:20:30:386
5,-0.8140000000000001,-2.1835,10.1035,-0.5906,-1.3514,9.6951,0.7439,-0.9183,0.7532,0.0046,0.0095,0.0214,0.0,60.3,-67.02,-12.24,220.81,7.92,3.49,35.782,51.444805,4807.95,4848.042894,6.78,25.806452,342.39,12-Nov,15721506.0,2016-06-28 13:20:31:386
6,-0.5459,-2.2601,9.4906,-0.9336,-1.3319,9.6708,1.0581,-1.455,0.0113,0.0324,-0.0186,0.026000000000000002,0.0,60.24,-67.32,-12.96,220.31,7.81,5.51,35.78201,51.444798,4808.43,4848.042894,6.89,38.709675,339.95,12-Nov,15722006.0,2016-06-28 13:20:31:886
7,-0.5171,-1.81,10.4866,-0.9485,-1.4179,9.6572,0.6037,-0.9955,0.2932,0.055,-0.0244,0.0119,0.0,58.62,-70.02,-13.44,218.6,8.31,5.61,35.78201,51.444798,4808.43,4848.042894,6.89,38.709675,339.95,12-Nov,15722506.0,2016-06-28 13:20:32:386
8,-0.1053,-1.6089,9.7779,-0.9271,-1.0142,9.7099,0.4099,-0.7958,-0.0373,0.0363,-0.0611,0.028999999999999998,0.0,55.68,-70.5,-14.88,217.14,5.94,5.45,35.78203,51.444794,4808.97,4848.042894,8.84,25.806452,349.11,12-Nov,15723006.0,2016-06-28 13:20:32:886
9,-0.1053,-1.1971,9.7492,-0.8077,-0.7629,9.7435,0.8747,-0.1852,0.1493,0.0565,-0.036000000000000004,0.0134,0.0,56.64,-71.88,-14.82,217.16,4.46,4.74,35.78203,51.444794,4808.97,4848.042894,8.84,25.806452,349.11,12-Nov,15723511.0,2016-06-28 13:20:33:391
10,-0.5555,-1.1301,10.659,-0.7352,-0.5894,9.7613,0.2946,-0.5215,0.7636,-0.0131,-0.0131,0.0165,0.0,55.68,-74.04,-15.96,216.05,3.45,4.31,35.782043,51.444790000000005,4809.52,4848.042894,8.98,25.806452,350.4,12-Nov,15724005.0,2016-06-28 13:20:33:885
11,-0.4501,-1.0439,10.3813,-0.9263,-0.6817,9.738999999999999,0.3133,-0.6686,0.1634,-0.0144,-0.0574,0.0229,0.0,54.72,-75.6,-16.02,214.56,3.99,5.43,35.782043,51.444790000000005,4809.52,4847.652813000001,8.98,25.806452,350.4,12-Nov,15724505.0,2016-06-28 13:20:34:385
12,-0.5938,-0.8619,10.2855,-0.9378,-0.5901,9.7439,0.3441,-0.3484,0.5416,0.0086,-0.04,0.0162,0.0,53.94,-75.54,-15.66,214.1,3.45,5.5,35.782059999999994,51.444782000000004,4810.04,4848.215104999999,9.24,19.35484,354.46,12-Nov,15725006.0,2016-06-28 13:20:34:886
13,-0.9002,-1.3312,9.663,-0.9074,-0.4741,9.7531,-0.0694,-0.6559,-0.3869,0.0229,-0.0363,0.0174,0.0,54.24,-74.64,-14.22,214.68,2.74,5.32,35.782059999999994,51.444782000000004,4810.04,4848.215104999999,9.24,19.35484,354.46,12-Nov,15725506.0,2016-06-28 13:20:35:386
