,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
1,-0.5267,-0.1628,10.4387,-0.7202,0.1045,9.7796,0.0402,-0.6791,0.027000000000000003,0.0757,-0.1628,0.0605,90,21.66,-12.18,14.34,242.29,-0.73,4.99,35.781859999999995,51.44426,4800.57,4846.499393,3.21,38.709675,,14 / 14,909505,2016-06-23 11:49:35:296
2,0.0958,-1.3119999999999998,8.1211,-0.519,-0.1685,9.7915,0.7297,-1.3829,-1.5171,0.0519,0.0629,0.0788,90,18.72,-12.18,12.96,237.39,-2.49,2.57,35.781857,51.444266999999996,4799.25,4846.499393,4.07,38.709675,,14 / 14,910005,2016-06-23 11:49:35:796
3,0.182,-1.6376,9.7875,-0.7491,-0.1115,9.7774,0.8353,-1.4208,-0.4974,0.0214,-0.1222,0.1118,90,19.98,-12.96,11.28,238.08,-0.4,5.56,35.781857,51.444266999999996,4799.25,4846.499393,4.07,38.709675,,14 / 14,910504,2016-06-23 11:49:36:295
4,-0.6033,-0.6895,10.6015,-0.3805,-0.46,9.7885,-0.2228,-0.2295,0.8609,0.0232,-0.0348,0.1362,90,22.98,-12.72,13.08,243.95,2.52,1.95,35.781837,51.44428,4798.0,4846.499393,7.29,25.806452,,14 / 14,911004,2016-06-23 11:49:36:795
5,0.182,-0.68,9.4619,-0.634,-0.3957,9.7781,0.8926,-0.2268,-0.728,-0.0348,-0.0531,0.1625,90,22.26,-15.06,15.9,237.94,2.31,3.71,35.781837,51.44428,4798.0,4845.8449869999995,7.29,25.806452,,14 / 14,911505,2016-06-23 11:49:37:296
6,0.5459,-0.6321,9.7396,-0.3775,-0.3092,9.7945,0.9234,-0.3229,-0.0549,0.0596,-0.0012,0.1515,90,21.48,-18.12,17.16,231.59,2.44,2.87,35.781803000000004,51.44429,4796.91,4845.8449869999995,10.37,25.806452,,15 / 15,912005,2016-06-23 11:49:37:796
7,0.4884,-0.8428,10.3238,-0.3866,-0.3192,9.7938,0.8751,-0.5235,0.53,-0.0397,-0.0223,0.1604,90,20.46,-19.32,16.02,228.3,2.23,2.37,35.781803000000004,51.44429,4796.91,4845.8449869999995,10.37,25.806452,,15 / 15,912505,2016-06-23 11:49:38:296
8,0.5459,-0.7853,10.343,-0.4115,-0.276,9.7941,0.7946,-0.6912,1.8321,-0.0214,-0.1555,0.1225,90,19.56,-19.92,15.9,226.55,1.61,2.41,35.781773,51.444313,4795.97,4845.8449869999995,11.93,25.806452,162.68,15 / 15,913007,2016-06-23 11:49:38:798
9,0.0383,-0.7374,11.2049,0.0216,-0.4695,9.7954,0.4956,-0.3158,0.5284,0.0305,0.0428,0.0858,90,18.18,-21.12,17.28,221.7,2.74,-0.13,35.781773,51.444313,4795.97,4845.8449869999995,11.93,25.806452,162.68,15 / 15,913504,2016-06-23 11:49:39:295
10,0.9194,-0.8045,9.4715,-0.2653,0.1271,9.8022,1.1464,-0.9124,-0.053,0.0348,-0.0541,0.0556,90,17.88,-21.24,17.22,220.21,0.49,1.64,35.781734,51.444332,4795.41,4845.8449869999995,12.55,25.806452,160.82,15 / 15,914005,2016-06-23 11:49:39:796
11,0.498,-0.1149,10.8793,-0.2604,0.3687,9.7963,0.4424,-0.6655,1.5714,0.011000000000000001,-0.0202,0.0131,90,16.02,-21.9,17.28,215.8,-2.16,1.04,35.781734,51.444332,4795.41,4845.8449869999995,12.55,25.806452,160.82,15 / 15,914505,2016-06-23 11:49:40:296
12,0.4022,0.1341,10.3238,-0.1706,0.4475,9.7949,0.5729,-0.3134,0.5288,0.0244,-0.0843,-0.0626,90,17.34,-22.14,16.68,217.78,-1.84,1.56,35.781734,51.444332,4795.41,4845.8449869999995,12.55,25.806452,160.82,15 / 15,915005,2016-06-23 11:49:40:796
13,0.3448,0.182,10.2759,-0.0584,0.5686,9.79,0.4606,-0.4824,0.7062,0.0666,-0.0678,-0.1145,90,17.46,-20.34,15.0,219.37,-3.32,0.34,35.781704,51.444365999999995,4794.89,4845.8449869999995,12.88,25.806452,151.89,15 / 15,915505,2016-06-23 11:49:41:296
14,0.3256,0.4597,10.3621,0.011000000000000001,0.8067,9.7734,0.3146,-0.3471,0.5887,0.0614,-0.0247,-0.1203,90,18.0,-19.26,14.94,221.88,-4.47,0.11,35.78167,51.44441,4794.57,4845.8449869999995,13.17,25.806452,146.06,15 / 15,916005,2016-06-23 11:49:41:796
15,0.3065,0.4693,10.3813,-0.1005,0.9977,9.7553,0.4069,-0.5284,0.626,-0.0174,-0.0611,-0.1142,90,20.22,-17.76,14.88,226.29,-5.45,0.8,35.78167,51.44441,4794.57,4845.8449869999995,13.17,25.806452,146.06,15 / 15,916505,2016-06-23 11:49:42:296
16,0.3926,0.8619,10.0173,0.0313,0.8064,9.7734,0.1411,-0.5957,0.4451,-0.0345,-0.0651,-0.0907,90,21.24,-18.18,15.48,227.93,-4.09,0.25,35.78163,51.44444,4794.49,4845.8449869999995,13.13,25.806452,151.41,16 / 16,917007,2016-06-23 11:49:42:798
17,-0.6225,1.7334,11.0421,-0.1927,0.5642,9.7885,0.2789,0.6234,1.2535,0.0779,-0.1194,-0.0965,90,21.3,-17.64,15.36,228.54,-3.3,1.13,35.78163,51.44444,4794.49,4845.8449869999995,13.13,25.806452,151.41,16 / 16,917505,2016-06-23 11:49:43:296
18,-0.249,2.5283,9.232000000000001,-0.1895,0.7503,9.7761,-0.3181,1.2417,0.08800000000000001,0.098,-0.0134,-0.0431,90,18.96,-17.52,14.22,225.79,-2.8,0.7,35.781586,51.444454,4794.45,4845.8449869999995,13.15,25.806452,162.99,16 / 16,918004,2016-06-23 11:49:43:795
19,-0.0287,-0.2969,10.41,0.078,0.612,9.7872,0.0465,-0.7365,-0.2296,-0.0342,-0.0715,-0.077,90,18.72,-16.74,11.76,226.78,-5.84,1.23,35.781586,51.444454,4794.45,4845.8449869999995,13.15,25.806452,162.99,16 / 16,918504,2016-06-23 11:49:44:295
20,0.2586,0.6895,9.7205,0.3879,0.4413,9.789,-0.1676,0.0375,-0.4133,-0.0308,-0.0608,-0.0776,90,19.62,-13.8,9.18,233.68,-2.58,-2.27,35.78154,51.444466,4794.28,4845.8449869999995,13.07,25.806452,163.58,17 / 17,919005,2016-06-23 11:49:44:796
