,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
1,0.4788,-0.316,8.3989,0.5119,-0.5284,9.779,0.1872,0.04,-0.5949,0.0794,0.0027,0.0388,8.0,-46.14,-229.98,83.76,167.78,1.66,-2.27,35.781776,51.444347,4803.22,4839.190793,11.91,19.35484,336.2,13 / 13,4032006.0,2016-06-26 11:59:43:415
2,1.2833,-0.4693,9.5768,0.1633,-0.2018,9.8032,1.2827,-0.2291,0.5972,-0.015,-0.0131,-0.0046,8.0,-43.86,-229.86,84.78,168.75,1.18,-0.95,35.781776,51.444347,4803.22,4839.190793,11.91,19.35484,336.2,13 / 13,4032506.0,2016-06-26 11:59:43:915
3,0.4501,-1.0918,9.7588,0.4414,-0.4276,9.7874,0.1044,0.16899999999999998,0.1725,-0.0272,-0.0486,-0.0373,8.0,-44.4,-228.42,85.14,167.97,2.5,-2.58,35.78181,51.444320000000005,4802.94,4839.190793,12.13,19.35484,336.84,13 / 13,4033006.0,2016-06-26 11:59:44:415
4,0.4214,-2.1644,9.596,0.6163,-1.3794,9.6896,-0.195,-0.785,-0.0936,0.0034,-0.0531,-0.0495,8.0,-46.02,-228.36,86.46,166.51,6.12,-4.43,35.78185,51.444297999999996,4804.97,4839.190793,12.53,38.709675,332.0,13 / 13,4033506.0,2016-06-26 11:59:44:915
5,0.9864,-1.3216,9.5672,0.5215,-1.6325,9.6557,-0.1576,-0.0147,-0.2801,0.0055,-0.0495,-0.0803,8.0,-46.02,-228.06,87.06,166.49,9.58,-3.09,35.78185,51.444297999999996,4804.97,4839.190793,12.53,38.709675,332.0,13 / 13,4034005.0,2016-06-26 11:59:45:414
6,0.6895,-0.0862,9.2416,0.5615,-0.8009,9.7578,-0.1975,0.8967,-0.7556,0.0385,-0.0473,-0.0977,8.0,-46.56,-228.48,88.62,166.63,4.8,-3.47,35.781883,51.444275,4805.22,4839.190793,12.75,38.709675,338.02,13-Dec,4034506.0,2016-06-26 11:59:45:915
7,1.1301,0.3735,10.1897,0.7388,-0.2825,9.7747,-0.078,0.3974,-0.1787,0.0296,-0.018000000000000002,-0.0522,8.0,-47.58,-228.96,89.04,166.45,1.65,-4.32,35.781883,51.444275,4805.22,4839.190793,12.75,38.709675,338.02,13-Dec,4035005.0,2016-06-26 11:59:46:414
8,0.7853,0.3735,11.0038,0.516,0.1251,9.7923,0.6236,0.1526,0.4166,0.0272,-0.0415,0.0064,8.0,-50.1,-228.48,88.14,166.6,-0.73,-3.02,35.781918,51.444252,4805.38,4839.190793,12.67,19.35484,340.97,13-Dec,4035506.0,2016-06-26 11:59:46:915
9,0.0862,-0.0096,10.1801,0.3934,0.0816,9.7984,-0.0965,-0.0624,0.535,0.0217,-0.0681,0.0528,8.0,-51.42,-228.6,87.12,166.71,-0.48,-2.18,35.781918,51.444252,4805.38,4839.190793,12.67,19.35484,340.97,13-Dec,4036006.0,2016-06-26 11:59:47:415
10,-0.0958,-0.2298,10.6973,0.307,0.094,9.8014,-0.1825,-0.45799999999999996,0.9246,-0.0092,-0.0693,0.102,8.0,-51.36,-228.54,86.16,166.85,-0.55,-1.79,35.781944,51.444233000000004,4805.42,4839.190793,12.5,38.709675,342.5,13-Dec,4036506.0,2016-06-26 11:59:47:915
