,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
1,0.1053,0.7757,10.5536,0.2221,1.1796,9.7329,0.1227,-0.3847,0.7345,0.0064,0.028999999999999998,-0.0153,780.0,207.3,-278.52,-58.68,217.6,-6.91,-1.31,35.782352,51.443940000000005,4816.32,4857.091235,5.05,38.709675,316.57,15 / 15,91186506.0,2016-06-29 10:18:16:386
2,-0.6512,1.9537,10.477,0.1181,1.2355,9.7278,-0.7693,0.7182,0.7492,0.0257,-0.1842,0.0082,780.0,207.06,-278.94,-58.86,217.64,-7.34,-0.9,35.782352,51.443940000000005,4816.32,4857.091235,5.05,38.709675,316.57,15 / 15,91187006.0,2016-06-29 10:18:16:886
3,0.6704,1.2641,10.2185,-0.0141,1.0976,9.745,1.2399,0.1569,0.483,0.1411,-0.0098,-0.0147,780.0,205.44,-281.52,-60.36,216.84,-6.43,0.08,35.782352,51.443940000000005,4816.32,4857.091235,5.05,38.709675,316.57,15 / 15,91187505.0,2016-06-29 10:18:17:385
4,0.5363,1.0918,9.979,0.1829,0.5449,9.7898,0.2385,0.2691,-0.1172,0.0736,-0.0119,-0.0037,780.0,203.4,-283.92,-60.3,216.2,-4.22,-1.32,35.782352,51.443940000000005,4816.32,4857.091235,5.05,38.709675,316.57,15 / 15,91188006.0,2016-06-29 10:18:17:886
5,0.2203,1.2929,10.4675,0.223,1.2537,9.7236,-0.0027,0.0392,0.7438,-0.0015,-0.0675,-0.0003,780.0,203.94,-283.08,-60.84,216.73,-6.12,-1.56,35.782352,51.443940000000005,4816.32,4857.091235,5.05,38.709675,316.57,15 / 15,91188505.0,2016-06-29 10:18:18:385
6,-0.431,1.9537,11.4251,0.4427,1.5801,9.6684,-0.3757,0.5077,1.6705,-0.0751,-0.0614,-0.0076,780.0,203.82,-282.78,-62.46,217.23,-8.74,-2.34,35.782416999999995,51.44385,4817.11,4857.091235,4.55,25.806452,333.36,15 / 15,91189005.0,2016-06-29 10:18:18:885
7,0.2107,1.8004,10.9367,0.11800000000000001,1.6102,9.6728,0.0927,0.1903,1.2639,0.1597,-0.0773,-0.0159,780.0,204.36,-282.78,-62.04,217.09,-8.22,-1.64,35.782416999999995,51.44385,4817.11,4857.091235,4.55,25.806452,333.36,15 / 15,91189506.0,2016-06-29 10:18:19:386
8,0.6608,1.6185,10.1514,0.3582,1.8702,9.62,0.3026,-0.2517,0.5314,0.055,-0.0834,-0.026000000000000002,780.0,204.54,-282.96,-61.14,217.6,-10.46,-1.61,35.782416999999995,51.44385,4817.11,4857.091235,4.55,25.806452,333.36,15 / 15,91190006.0,2016-06-29 10:18:19:886
9,0.6033,1.6951,10.1514,0.5201,1.7763,9.6304,0.0832,-0.0812,0.521,-0.0076,-0.0675,-0.0229,780.0,205.74,-282.12,-61.38,217.9,-10.36,-3.14,35.782416999999995,51.44385,4817.11,4857.091235,4.55,25.806452,333.36,15 / 15,91190506.0,2016-06-29 10:18:20:386
10,0.747,1.8004,10.4291,0.6092,1.7091,9.6373,0.1378,0.0914,0.7918,0.0232,-0.0247,-0.0324,780.0,206.76,-281.34,-63.36,218.05,-9.56,-3.21,35.782463,51.443787,4817.19,4857.091235,6.54,38.709675,314.22,15 / 15,91191005.0,2016-06-29 10:18:20:885
