,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
1,-4.3958,2.8347,8.5234,-4.3505,2.7422,8.3501,-0.0452,0.0925,0.1733,0.1457,-0.0257,0.0376,0.0,-8.1,13.38,-25.32,47.0,-15.98,28.02,35.78204,51.444363,4760.69,4852.539229999999,10.16,77.41935,138.31,10-Oct,20803509.0,2016-06-27 17:25:44:244
2,-3.8689999999999998,2.1356,8.1116,-3.11,2.6823,8.9053,-0.7591,-0.5467,-0.7937,0.5315,-0.7181,-0.5397,0.0,-9.42,12.84,-25.8,45.41,-14.8,22.08,35.782036,51.444424,4759.44,4852.539229999999,14.6,77.41935,110.77,10-Oct,20804009.0,2016-06-27 17:25:44:744
3,-3.3327,2.806,9.1075,-3.5384,2.7284,8.7296,0.2057,0.0776,0.3779,0.1686,0.0082,-0.0696,0.0,-19.86,13.62,-26.76,57.39,-15.67,21.65,35.78204,51.444503999999995,4757.94,4852.539229999999,18.75,103.22581,93.53,10-Oct,20804509.0,2016-06-27 17:25:45:244
4,-3.4477,1.9441,9.347000000000001,-2.6101,2.7798,9.035,-0.9429,-0.7495,-0.6265,0.0443,-0.3937,-0.084,0.0,-21.66,12.78,-27.06,57.6,-17.38,18.47,35.78204,51.444503999999995,4757.94,4852.539229999999,18.75,103.22581,93.53,10-Oct,20805010.0,2016-06-27 17:25:45:745
9,-0.9864,0.2011,12.7755,-1.37,1.2474,9.63,-1.7521,-1.0558,2.3984,-0.8131,-0.0825,-0.1023,0.0,-30.24,9.36,-21.48,71.33,-7.31,8.1,35.782127,51.44458,4760.93,4852.539229999999,19.32,103.22581,67.66,11-Nov,20807510.0,2016-06-27 17:25:48:245
10,-3.4381,1.9728,9.4523,-3.7107,1.3839,8.9714,0.3971,-0.4741,0.7203,-0.1851,0.3525,-0.4355,0.0,-27.6,8.34,-22.14,74.7,-6.28,19.24,35.782127,51.44458,4760.93,4852.539229999999,19.32,103.22581,67.66,11-Nov,20808009.0,2016-06-27 17:25:48:744
11,-1.8771,1.3695,9.0884,-2.5951,1.5490000000000002,9.3293,0.7659,-0.2274,0.1613,-0.2569,-0.5559,0.2257,0.0,-33.96,4.56,-21.12,81.4,-9.86,19.41,35.782112,51.444614,4761.58,4852.539229999999,18.79,154.8387,92.22,11-Nov,20808510.0,2016-06-27 17:25:49:245
12,-1.1205,0.6512,9.6055,-1.3307,0.6434,9.6946,-0.0484,0.1227,0.8016,-0.5452,-0.1713,-0.467,0.0,-44.1,8.04,-17.34,79.27,-3.76,7.82,35.782112,51.444614,4761.58,4852.539229999999,18.79,154.8387,92.22,11-Nov,20809010.0,2016-06-27 17:25:49:745
13,-2.0782,-0.1053,10.3046,-1.7369,0.0071,9.6516,-0.121,0.127,0.0497,-0.087,0.2957,-0.2169,0.0,-48.72,3.0,-19.5,86.43,-1.05,8.83,35.78208,51.444607,4762.37,4852.539229999999,18.26,103.22581,120.51,11-Oct,20809509.0,2016-06-27 17:25:50:244
14,-0.5938,0.4022,8.6957,-0.9561,0.2681,9.7562,0.439,0.1533,-0.3135,0.1857,-0.3989,-0.2288,0.0,-46.8,-5.04,-22.86,95.09,-1.98,6.73,35.78208,51.444607,4762.37,4852.539229999999,18.26,103.22581,120.51,11-Oct,20810009.0,2016-06-27 17:25:50:744
