,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
1,0.2682,1.3024,9.8641,-0.5479,0.5959,9.7732,0.8161,0.7065,0.0909,0.0571,0.0009,0.358,0.0,179.94,-544.08,-384.06,196.69,-2.47,3.26,35.78221,51.444454,4865.83,,3.23,25.806452,,11-Nov,9562008.0,2016-07-02 12:55:33:085
2,-0.3256,1.3119999999999998,10.5536,-0.2844,1.0925,9.7415,-0.4243,-0.3168,0.4195,0.0027,0.013999999999999999,0.35,0.0,175.08,-537.78,-383.52,198.43,-6.4,1.67,35.7822,51.44442,4865.62,,4.47,19.35484,,11-Nov,9562507.0,2016-07-02 12:55:33:584
3,-0.6416,0.9385,10.0652,-0.2082,1.337,9.7129,-0.8166,-0.2739,0.6397,-0.0238,0.0696,0.1707,0.0,173.1,-535.86,-384.84,199.4,-7.75,0.64,35.7822,51.44442,4865.62,,4.47,19.35484,,11-Nov,9563007.0,2016-07-02 12:55:34:084
4,-1.0056,1.3312,9.5193,-1.0411,1.6014,9.6188,-0.1081,0.8311,0.5134,0.0501,0.0382,0.20800000000000002,0.0,174.36,-533.76,-386.28,195.5,-8.11,6.26,35.78219,51.444379999999995,4865.2,,5.68,19.35484,,11-Nov,9563508.0,2016-07-02 12:55:34:585
5,-0.4501,1.9537,10.3334,-1.2578,2.1322,9.488999999999999,0.9227,-0.303,0.3846,0.0263,-0.0535,0.2404,0.0,175.44,-530.22,-388.2,195.95,-12.56,7.55,35.78219,51.444379999999995,4865.2,,5.68,19.35484,,11-Nov,9564008.0,2016-07-02 12:55:35:085
6,-0.8906,1.9345,11.0038,-1.1389,2.0734,9.5171,-0.0678,-0.1197,0.7684,-0.0043,-0.0266,0.168,0.0,175.68,-526.92,-388.62,196.68,-12.21,6.82,35.78217,51.444313,4864.68,,5.97,19.35484,,11-Nov,9564507.0,2016-07-02 12:55:35:584
7,-2.6239999999999997,2.3559,9.9695,-1.1353,2.2829,9.4694,-0.4161,-0.1281,-0.2086,0.0156,0.0782,-0.0064,0.0,177.0,-524.52,-388.62,197.29,-13.46,6.84,35.78217,51.444313,4864.68,,5.97,19.35484,,11-Nov,9565008.0,2016-07-02 12:55:36:085
8,-2.1835,2.0399,9.6247,-2.1632,2.0472,9.3434,0.7171,-0.4,-1.0882,0.0308,-0.0421,-0.1289,0.0,177.36,-524.7,-388.68,191.25,-12.05,13.04,35.782158,51.44425,4864.11,,6.58,19.35484,254.43,11-Nov,9565508.0,2016-07-02 12:55:36:585
9,-1.9441,2.0973,7.8817,-2.4677,2.0267,9.2722,0.3991,0.1951,-1.0074,0.0241,-0.1408,-0.131,0.0,177.6,-525.78,-388.08,189.59,-11.93,14.9,35.782158,51.44425,4864.11,,6.58,19.35484,254.43,11-Nov,9566007.0,2016-07-02 12:55:37:084
10,-1.6089,1.4844,11.5113,-2.2607,1.5542,9.4151,0.6518,-0.0698,2.0962,-0.0593,-0.142,-0.1762,0.0,175.98,-526.26,-387.42,189.21,-10.54,14.78,35.782158,51.44419,4863.49,,6.63,19.35484,249.07,12-Dec,9566507.0,2016-07-02 12:55:37:584
11,-2.5474,1.0918,11.3677,-2.2629,1.0379,9.4854,-0.1792,-0.5973,2.1121,-0.037000000000000005,-0.1943,-0.2392,0.0,176.22,-525.96,-387.42,191.06,-7.14,11.96,35.782158,51.44419,4863.49,,6.63,19.35484,249.07,12-Dec,9567007.0,2016-07-02 12:55:38:084
12,-2.7294,-1.1013,9.097999999999999,-2.0216,0.0915,9.5956,-0.7078,-1.1928,-0.4976,-0.0391,-0.0858,-0.3122,0.0,175.5,-528.06,-385.62,190.47,-2.12,11.61,35.782158,51.444157000000004,4862.94,,6.81,19.35484,233.69,12-Nov,9567508.0,2016-07-02 12:55:38:585
13,-2.7964,-0.9481,10.1035,-2.3443,0.0852,9.5219,-0.2127,-1.1099,-0.9411,-0.0177,-0.1277,-0.2685,0.0,175.98,-531.24,-382.86,188.55,-0.5,13.83,35.782158,51.444157000000004,4862.94,,6.81,19.35484,233.69,12-Nov,9568007.0,2016-07-02 12:55:39:084
14,-2.4612,-0.2011,10.5249,-1.9712,-0.4691,9.595,0.0654,0.6319,1.3704,-0.0018,-0.0889,-0.1234,0.0,175.86,-535.74,-383.58,190.1,2.02,11.21,35.782166,51.444115000000004,4862.43,,6.86,19.35484,248.07,12-Nov,9568508.0,2016-07-02 12:55:39:585
15,-1.6185,-0.0766,10.4291,-1.4706,-0.2761,9.6918,0.2448,-0.0687,0.2298,0.0064,-0.0641,-0.0987,0.0,174.9,-538.2,-386.1,191.84,1.61,8.63,35.782166,51.444115000000004,4862.43,,6.86,19.35484,248.07,12-Nov,9569007.0,2016-07-02 12:55:40:084
16,-1.3312,0.1724,9.7779,-1.1537,-0.1038,9.738,0.196,0.075,0.7294,0.0376,-0.0611,-0.0421,0.0,173.52,-539.82,-387.36,193.16,0.61,6.76,35.782185,51.444077,4862.15,,6.76,19.35484,283.56,11-Nov,9569508.0,2016-07-02 12:55:40:585
17,-1.1779,0.1437,10.4675,-1.1637,0.1599,9.736,0.4742,-0.0545,0.3771,0.0113,-0.0354,-0.051,0.0,173.16,-540.06,-388.8,193.25,-0.93,6.82,35.782185,51.444077,4862.15,,6.76,19.35484,283.56,11-Nov,9570007.0,2016-07-02 12:55:41:084
18,-1.2641,-0.249,10.4579,-1.2864,-0.2242,9.7193,-0.4661,-0.1397,1.0929,-0.0131,-0.0553,-0.0803,0.0,173.76,-540.3,-388.92,193.32,0.51,6.51,35.78221,51.444035,4861.95,,7.06,19.35484,323.66,11-Nov,9570507.0,2016-07-02 12:55:41:584
19,-1.4461,1.1875,9.7109,-1.1539,-0.344,9.7324,-0.3209,1.1293,1.1276,0.0437,-0.0962,-0.0812,0.0,175.5,-540.3,-387.84,193.12,2.01,6.76,35.78221,51.444035,4861.95,,7.06,19.35484,323.66,11-Nov,9571007.0,2016-07-02 12:55:42:084
20,-1.2546,1.2737,10.2951,-1.3522,0.9711,9.6643,-0.1705,0.1589,0.2573,0.0351,-0.0519,-0.057999999999999996,0.0,177.24,-540.78,-385.44,193.75,-5.68,7.97,35.78224,51.444008000000004,4861.73,,7.26,19.35484,330.9,11-Nov,9571508.0,2016-07-02 12:55:42:585
21,-0.747,-0.5363,9.5385,-1.1243,0.4181,9.732999999999999,0.3677,-0.8491,0.1694,0.026000000000000002,-0.073,-0.0449,0.0,178.44,-543.12,-384.06,194.18,-2.44,6.59,35.78224,51.444008000000004,4861.73,,7.26,19.35484,330.9,11-Nov,9572007.0,2016-07-02 12:55:43:084
22,-0.8619,-0.7183,9.5672,-0.9902,-0.1795,9.7549,0.1283,-0.5387,-0.1876,0.0293,-0.0586,-0.0269,0.0,178.08,-545.16,-386.04,194.04,1.05,5.8,35.782272,51.44397,4861.36,,6.99,19.35484,326.28,12-Dec,9572508.0,2016-07-02 12:55:43:585
23,-0.1245,0.0862,9.9311,-0.4273,-0.1342,9.7964,0.4369,-0.0765,0.6519,0.0379,-0.0547,0.0412,0.0,177.24,-544.56,-386.34,195.26,1.52,3.73,35.782272,51.44397,4861.36,,6.99,19.35484,326.28,12-Dec,9573007.0,2016-07-02 12:55:44:084
24,0.7949,-0.0096,9.7971,-0.1027,-0.0903,9.8057,0.706,0.5979,0.8533,-0.0238,-0.102,0.1066,0.0,176.94,-542.46,-385.26,197.59,0.53,0.6,35.782303000000006,51.443913,4860.95,,7.11,25.806452,322.16,12-Nov,9573507.0,2016-07-02 12:55:44:584
25,0.5938,0.4501,10.8314,0.2797,0.2705,9.7989,1.2238,-0.146,1.1857,-0.0128,0.077,0.1112,0.0,176.46,-540.24,-383.46,199.93,-0.89,-2.67,35.782303000000006,51.443913,4860.95,,7.11,25.806452,322.16,12-Nov,9574008.0,2016-07-02 12:55:45:085
26,-0.2969,-1.3408,11.4826,0.4318,0.3589,9.7906,-0.7287,-1.6996,1.692,0.2657,-0.0709,0.0648,0.0,180.36,-527.22,-376.86,199.97,0.37,-1.89,35.78232,51.443813,4857.1,,7.93,38.709675,312.41,12-Dec,9574508.0,2016-07-02 12:55:45:585
27,-0.0192,-0.1915,11.1666,-0.2638,-0.1072,9.8025,0.1489,-0.5823,1.0672,-0.0675,-0.0953,0.0501,0.0,181.74,-518.88,-366.42,198.21,0.63,1.54,35.78232,51.443813,4857.1,,7.93,38.709675,312.41,12-Dec,9575008.0,2016-07-02 12:55:46:085
28,-1.1492,-1.063,10.9559,-0.3332,-0.3466,9.7949,-1.496,-0.2951,0.1554,-0.0257,-0.1423,-0.04,0.0,181.02,-520.74,-366.36,197.51,2.03,1.95,35.782375,51.443709999999996,4855.31,,9.39,25.806452,312.02,12-Nov,9575507.0,2016-07-02 12:55:46:584
29,-0.6895,-0.4884,12.038,-0.6288,-0.1252,9.7857,0.0063,0.0007,2.2141,-0.0174,-0.0092,-0.0431,0.0,178.62,-524.7,-361.98,196.35,0.73,3.68,35.782375,51.443709999999996,4855.31,,9.39,25.806452,312.02,12-Nov,9576008.0,2016-07-02 12:55:47:085
30,-1.4748,-0.316,10.8793,-0.9916,-0.3225,9.7511,-0.397,0.1022,0.2567,0.047,-0.0174,-0.0476,0.0,180.6,-524.52,-362.4,195.61,2.11,4.74,35.78243,51.44361,4852.77,,11.18,25.806452,307.74,12-Dec,9576511.0,2016-07-02 12:55:47:588
31,-1.2641,-0.4501,10.1131,-1.2589,-0.2296,9.7228,-0.0148,-0.2014,0.036000000000000004,0.0247,-0.0528,-0.0394,0.0,178.26,-525.12,-363.66,193.69,1.63,7.27,35.78243,51.44361,4852.77,,11.18,25.806452,307.74,12-Dec,9577008.0,2016-07-02 12:55:48:085
32,-0.6321,0.0575,10.1323,-1.2179,-0.1582,9.7294,-0.0366,-0.3111,0.6327,0.037000000000000005,-0.0956,-0.0467,0.0,176.52,-526.86,-366.48,193.58,1.34,7.29,35.78243,51.44361,4852.77,,11.18,25.806452,307.74,12-Dec,9577507.0,2016-07-02 12:55:48:584
33,-1.0247,-0.2873,9.6343,-0.9961,-0.23,9.7532,0.1151,-0.2201,0.7334,-0.0183,-0.0247,-0.0535,0.0,175.2,-525.18,-367.38,194.21,0.87,6.19,35.78247,51.443529999999996,4848.15,,12.78,25.806452,311.01,12-Dec,9578007.0,2016-07-02 12:55:49:084
34,-1.0343,-0.6129,10.4004,-1.1672,-0.4106,9.7283,-0.2598,0.0084,0.7487,0.028999999999999998,0.0113,-0.0651,0.0,178.86,-523.56,-361.08,194.02,2.4,6.84,35.78252,51.443462,4844.18,,14.04,25.806452,312.88,12-Dec,9578507.0,2016-07-02 12:55:49:584
35,-0.8811,0.0766,9.912,-1.3317,-0.3059,9.711,-0.0282,0.1718,-0.3449,0.1173,-0.08800000000000001,-0.0553,0.0,179.34,-528.96,-362.16,193.62,2.59,7.4,35.78252,51.443462,4844.18,,14.04,25.806452,312.88,12-Dec,9579007.0,2016-07-02 12:55:50:084
36,-1.3503,-0.0958,9.4236,-1.1414,-0.1166,9.7393,-0.209,0.0209,-0.3157,0.0492,-0.0822,-0.0657,0.0,178.08,-529.2,-364.98,194.04,1.14,6.71,35.78257,51.44341,4840.62,,14.69,25.806452,304.7,12-Dec,9579508.0,2016-07-02 12:55:50:585
37,-1.063,0.498,10.9654,-1.2604,0.055,9.7252,0.3889,0.5483,1.5563,0.0315,-0.0721,-0.0586,0.0,179.7,-528.72,-364.2,194.04,-0.32,7.38,35.78257,51.44341,4840.62,,14.69,25.806452,304.7,12-Dec,9580007.0,2016-07-02 12:55:51:084
38,-1.1396,0.996,9.8928,-1.2036,0.8664,9.6939,-0.2521,1.0011,0.8693,0.1035,-0.0654,-0.0611,0.0,179.4,-528.36,-363.54,195.14,-4.35,6.81,35.78262,51.443329999999996,4836.81,,15.52,25.806452,312.66,12-Dec,9580508.0,2016-07-02 12:55:51:585
39,-0.8236,1.4269,9.7875,-1.1537,1.0473,9.6821,0.2727,0.1594,0.2587,0.0498,-0.0764,-0.0376,0.0,179.46,-525.66,-363.9,195.13,-6.01,7.41,35.78262,51.443329999999996,4836.81,,15.52,25.806452,312.66,12-Dec,9581007.0,2016-07-02 12:55:52:084
40,-0.9577,1.063,10.8409,-0.866,0.845,9.7317,0.2244,0.0169,1.4348,-0.0605,-0.08800000000000001,-0.0024,0.0,179.82,-525.36,-363.24,196.7,-4.94,5.09,35.78268,51.44325,4834.71,,16.44,25.806452,318.23,12-Dec,9581508.0,2016-07-02 12:55:52:585
41,-0.6991,0.1149,9.0309,-0.5235,0.6971,9.7678,0.1212,-0.5439,-0.6603,0.0727,-0.0602,0.0015,0.0,179.94,-525.54,-363.36,197.84,-4.08,3.07,35.78268,51.44325,4834.71,,16.44,25.806452,318.23,12-Dec,9582008.0,2016-07-02 12:55:53:085
42,-0.1341,-0.4118,10.3046,-0.4301,0.1714,9.7957,0.5355,-0.3534,0.3749,0.0461,-0.0376,0.0272,0.0,179.58,-527.4,-363.72,197.48,-1.0,2.51,35.782738,51.443184,4835.41,,16.94,25.806452,322.61,12-Dec,9582507.0,2016-07-02 12:55:53:584
43,-0.1053,0.8045,9.9216,-0.3734,0.2398,9.7966,0.2681,0.5646,0.125,0.0296,-0.0394,0.0929,0.0,179.4,-526.92,-364.32,197.61,-0.55,2.01,35.782738,51.443184,4835.41,,16.94,25.806452,322.61,12-Dec,9583007.0,2016-07-02 12:55:54:084
44,-0.6608,0.7278,10.477,-0.1382,0.4947,9.7932,-0.0724,0.1949,0.4923,-0.018000000000000002,-0.0559,0.1781,0.0,179.22,-526.14,-364.92,198.99,-2.83,0.69,35.782787,51.44313,4836.82,,17.34,19.35484,322.49,12-Dec,9583507.0,2016-07-02 12:55:54:584
45,-0.0096,-0.0479,10.4483,0.0623,0.0587,9.8063,-0.2346,0.0754,0.7378,0.0202,-0.0712,0.2334,0.0,178.8,-524.58,-364.86,199.13,-0.34,-0.36,35.782787,51.44313,4836.82,,17.34,19.35484,322.49,12-Dec,9584007.0,2016-07-02 12:55:55:084
