,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
1,0.8428,-1.6759,10.2376,-0.1354,-3.0172,9.33,1.2655,1.2263,0.7736,-0.026000000000000002,-0.0257,0.5953,0.0,-4.14,1.02,28.32,24.04,18.05,-0.59,35.78212,51.44412,4917.57,4852.463136,1.37,19.35484,345.08,10-Sep,13327005.0,2016-07-01 15:06:30:622
2,1.2641,-2.2889,10.3908,0.3502,-3.4162,9.1857,1.1055,1.3764,1.186,0.0082,-0.028999999999999998,0.4985,0.0,-8.4,-0.06,28.32,43.22,20.39,-2.18,35.782135,51.444122,4914.61,4852.463136,4.36,19.35484,359.24,10-Sep,13327505.0,2016-07-01 15:06:31:122
3,0.4118,-1.4365,9.9886,0.7022,-3.0774,9.2848,-0.0606,1.7367,0.1292,0.0058,-0.0464,0.4911,0.0,-12.48,-0.72,29.1,61.01,18.29,-4.33,35.782135,51.444122,4914.61,4852.463136,4.36,19.35484,359.24,10-Sep,13328006.0,2016-07-01 15:06:31:623
4,1.3982,-1.3312,9.7396,1.2386,-2.3931,9.4292,0.1596,1.0619,0.3104,0.0379,-0.0733,0.5348,0.0,-19.02,-0.12,28.92,72.71,15.25,-6.97,35.782166,51.444126000000004,4911.66,4852.463136,7.44,25.806452,5.2,10-Sep,13328505.0,2016-07-01 15:06:32:122
5,0.249,-1.9441,9.0118,0.8046,-1.902,9.5867,-0.5556,-0.0421,-0.5749,-0.0104,-0.0941,0.3989,0.0,-25.38,1.98,29.28,75.17,11.8,-5.72,35.782166,51.444126000000004,4911.66,4852.463136,7.44,25.806452,5.2,10-Sep,13329005.0,2016-07-01 15:06:32:622
6,0.1341,-1.5131,10.4675,0.0458,-1.7288,9.652999999999999,0.6342,0.1869,1.5136,-0.047,-0.0785,0.233,0.0,-30.12,7.08,29.88,68.04,10.15,-0.27,35.7822,51.444138,4908.86,4852.463136,9.58,38.709675,3.48,10-Aug,13329505.0,2016-07-01 15:06:33:122
7,-0.182,-1.6281,9.9407,-0.444,-1.3052,9.7093,0.7696,-0.1313,0.35600000000000004,-0.0073,-0.0421,0.0874,0.0,-31.8,9.36,32.16,66.33,7.65,2.62,35.7822,51.444138,4908.86,4852.463136,9.58,38.709675,3.48,10-Aug,13330006.0,2016-07-01 15:06:33:623
8,-0.9481,-1.6185,10.2855,-0.7673,-1.5904,9.6464,0.0298,-0.2675,0.4093,0.0208,-0.0809,-0.0403,0.0,-32.16,9.6,31.32,62.55,9.33,4.55,35.782204,51.444126000000004,4906.27,4852.463136,8.32,38.709675,355.46,10-Aug,13330505.0,2016-07-01 15:06:34:122
9,-0.9098,0.7183,9.3087,-1.0182,-0.6282,9.7334,0.1084,1.3464,-0.4247,0.0611,-0.0675,-0.073,0.0,-34.56,9.0,28.86,67.82,7.08,6.05,35.782204,51.444126000000004,4906.27,4852.463136,8.32,38.709675,355.46,10-Aug,13331005.0,2016-07-01 15:06:34:622
10,-0.9385,0.3926,9.5577,-1.3196,-0.0089,9.7175,0.1225,0.2387,0.7883,0.0232,-0.0302,-0.0394,0.0,-35.4,7.56,26.4,75.56,0.05,7.73,35.78224,51.444096,4903.72,4852.463136,9.92,38.709675,337.25,11-Sep,13331505.0,2016-07-01 15:06:35:122
11,-0.8619,0.3448,10.6781,-1.4631,0.3978,9.6887,0.6011,-0.053,0.9894,-0.0257,-0.0605,-0.0168,0.0,-35.34,8.58,26.28,75.71,-2.21,8.81,35.78224,51.444096,4903.72,4852.463136,9.92,38.709675,337.25,11-Sep,13332005.0,2016-07-01 15:06:35:622
12,-0.5842,0.4501,10.5919,-1.1825,0.639,9.7141,0.2919,0.2899,0.2937,0.028999999999999998,-0.0654,-0.0049,0.0,-33.84,9.72,28.08,75.42,-3.74,6.94,35.78228,51.44403,4879.74,4852.463136,12.03,38.709675,327.75,11-Sep,13332505.0,2016-07-01 15:06:36:122
13,-0.6321,0.0766,9.5193,-0.6761,0.2469,9.7802,0.0441,-0.1703,-0.2609,0.0357,-0.0507,-0.0168,0.0,-32.28,8.46,30.36,76.72,-1.78,4.37,35.78228,51.44403,4879.74,4852.463136,12.03,38.709675,327.75,11-Sep,13333005.0,2016-07-01 15:06:36:622
14,-0.68,0.0766,10.2759,-0.618,0.0267,9.7871,-0.1961,0.0212,-0.0667,0.0174,-0.0431,-0.0269,0.0,-32.4,6.72,30.36,77.04,-0.16,3.61,35.782276,51.443913,4862.48,4852.463136,13.22,25.806452,297.1,11-Sep,13333505.0,2016-07-01 15:06:37:122
15,-0.8715,-0.1532,10.3717,-0.5535,-0.092,9.7906,-0.3276,0.1591,-0.0606,0.0144,-0.0605,-0.0272,0.0,-33.06,5.16,29.28,80.5,0.44,3.3,35.782276,51.443913,4862.48,4852.463136,13.22,25.806452,297.1,11-Sep,13334005.0,2016-07-01 15:06:37:622
16,-0.6608,-0.2011,10.5536,-0.7776,-0.1899,9.7739,-0.0077,-0.107,0.1189,0.0229,-0.073,-0.0357,0.0,-33.06,6.54,28.74,76.03,1.11,4.55,35.782303000000006,51.44382,4849.39,4852.463136,14.23,25.806452,305.16,11-Sep,13334505.0,2016-07-01 15:06:38:122
17,-0.7183,-0.1437,9.7492,-0.6185,-0.0303,9.7871,0.0055,0.1835,0.1824,0.0165,-0.0412,-0.0681,0.0,-31.86,6.66,29.88,76.26,0.55,3.89,35.782303000000006,51.44382,4849.39,4852.463136,14.23,25.806452,305.16,11-Sep,13335005.0,2016-07-01 15:06:38:622
18,-2.0016,0.7278,9.8258,-0.5918,0.0509,9.7886,0.3524,0.2843,0.516,0.0617,0.1124,-0.1463,0.0,-30.66,6.66,29.04,76.81,-0.3,3.46,35.782352,51.44375,4838.69,4852.463136,14.96,38.709675,309.91,11-Sep,13335505.0,2016-07-01 15:06:39:122
19,-2.0303,-0.996,12.3828,-0.2935,0.2475,9.7991,-1.7368,-1.2435,2.5837,-0.0382,0.0452,-0.2334,0.0,-29.28,5.94,29.64,77.84,-0.26,3.4,35.782352,51.44375,4838.69,4852.463136,14.96,38.709675,309.91,11-Sep,13336005.0,2016-07-01 15:06:39:622
20,-0.1437,-1.1301,10.4866,-0.3985,-0.1842,9.7968,-1.2966,-0.3234,1.2931,0.0577,-0.0082,-0.4007,0.0,-26.1,5.04,29.76,77.49,0.27,5.1,35.78241,51.443672,4830.38,4852.463136,15.6,25.806452,310.72,11-Sep,13336507.0,2016-07-01 15:06:40:124
21,-3.0167,-0.4501,9.7683,-0.6434,-0.1415,9.7845,-2.3733,-0.3086,-0.0162,0.04,-0.1307,-0.4786,0.0,-19.38,2.52,31.62,76.42,1.5,5.16,35.78241,51.443672,4830.38,4852.463136,15.6,25.806452,310.72,11-Sep,13337005.0,2016-07-01 15:06:40:622
22,-4.3862,-0.5076,8.5042,0.1009,-0.2781,9.8022,-4.3913,0.0674,-0.1679,0.0635,-0.1103,-0.4866,0.0,-14.04,-1.74,32.94,93.26,2.07,-0.49,35.78245,51.443591999999995,4825.76,4852.463136,15.99,25.806452,310.99,11-Sep,13337506.0,2016-07-01 15:06:41:123
